dataset,pred_len,mse,mae,model_id,seed,trainable_parameters,epochs_recorded,train_seconds,log_path,activation,alpha,armor_cycle,armor_dropout,armor_lr_scale,armor_scale,batch_size,c_out,channel_independence,checkpoints,class_strategy,compile,d_ff,d_layers,d_model,data,data_path,dec_in,des,devices,distil,do_predict,dropout,e_layers,efficient_training,embed,enc_in,exp_name,factor,features,fix_seed,freq,geomattn_dropout,gpu,inverse,is_training,itr,kernel_size,l1_weight,label_len,learning_rate,loss,lradj,m,model,moving_avg,n_heads,num_workers,output_attention,partial_start_index,patience,pct_start,requires_grad,root_path,seq_len,target,target_data_path,target_root_path,train_epochs,use_amp,use_embedding_armor,use_gpu,use_multi_gpu,use_norm,use_xlinear_gate,weight_decay,wv,x_channel_ff,x_gate_dropout,x_temporal_ff
ETTh1,96,0.35973867774009705,0.3903518319129944,ETTh1_p96_alr2.0,2025,19224,10,57.91049933433533,logs/esimpletm_grid_expanded_ETTh1/ETTh1_p96_alr2.0.log,gelu,0.3,24,0.0,2.0,1.25,256,7,False,./checkpoints/,projection,False,32,1,32,ETTh1,ETTh1.csv,7,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,1,False,timeF,7,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.0005,0,0.02,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,,0.01,db1,,,
ETTh1,96,0.3597632348537445,0.3901347815990448,ETTh1_p96_wd0.005,2025,19224,10,61.97970914840698,logs/esimpletm_grid_expanded_ETTh1/ETTh1_p96_wd0.005.log,gelu,0.3,24,0.0,1.4,1.25,256,7,False,./checkpoints/,projection,False,32,1,32,ETTh1,ETTh1.csv,7,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,1,False,timeF,7,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.0005,0,0.02,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,,0.005,db1,,,
ETTh1,96,0.35977140069007874,0.3899794816970825,ETTh1_p96_alpha0.2,2025,19224,10,57.176177740097046,logs/esimpletm_grid_expanded_ETTh1/ETTh1_p96_alpha0.2.log,gelu,0.2,24,0.0,1.4,1.25,256,7,False,./checkpoints/,projection,False,32,1,32,ETTh1,ETTh1.csv,7,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,1,False,timeF,7,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.0005,0,0.02,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,,0.01,db1,,,
ETTh1,96,0.35977140069007874,0.3899794816970825,ETTh1_p96_alpha0.2,2025,19224,10,28.768670797348022,logs/night_grid_ETTh1/ETTh1_p96_alpha0.2.log,gelu,0.2,24,0.0,1.4,1.25,256,7,False,./checkpoints/,projection,False,32,1,32,ETTh1,ETTh1.csv,7,NightGrid,"0,1,2,3",True,False,0.1,1,False,timeF,7,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.0005,0,0.02,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,,0.01,db1,,,
ETTh1,96,0.359774112701416,0.38953787088394165,ETTh1_p96_wvdb2,2025,19280,10,66.26898550987244,logs/esimpletm_grid_expanded_ETTh1/ETTh1_p96_wvdb2.log,gelu,0.3,24,0.0,1.4,1.25,256,7,False,./checkpoints/,projection,False,32,1,32,ETTh1,ETTh1.csv,7,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,1,False,timeF,7,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.0005,0,0.02,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,,0.01,db2,,,
ETTh1,96,0.359774112701416,0.38953787088394165,ETTh1_p96_wvsym2,2025,19280,10,69.27112245559692,logs/esimpletm_grid_expanded_ETTh1/ETTh1_p96_wvsym2.log,gelu,0.3,24,0.0,1.4,1.25,256,7,False,./checkpoints/,projection,False,32,1,32,ETTh1,ETTh1.csv,7,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,1,False,timeF,7,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.0005,0,0.02,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,,0.01,sym2,,,
ETTh1,96,0.3597750663757324,0.39014673233032227,ETTh1_p96_m2,2025,19224,10,53.274085521698,logs/esimpletm_grid_expanded_ETTh1/ETTh1_p96_m2.log,gelu,0.3,24,0.0,1.4,1.25,256,7,False,./checkpoints/,projection,False,32,1,32,ETTh1,ETTh1.csv,7,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,1,False,timeF,7,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.0005,0,0.02,MSE,TST,2,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,,0.01,db1,,,
ETTh1,96,0.3597750663757324,0.39014673233032227,ETTh1_p96_m2,2025,19224,10,28.26723313331604,logs/night_grid_ETTh1/ETTh1_p96_m2.log,gelu,0.3,24,0.0,1.4,1.25,256,7,False,./checkpoints/,projection,False,32,1,32,ETTh1,ETTh1.csv,7,NightGrid,"0,1,2,3",True,False,0.1,1,False,timeF,7,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.0005,0,0.02,MSE,TST,2,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,,0.01,db1,,,
ETTh1,96,0.35978829860687256,0.3901902735233307,ETTh1_p96_gd0.75,2025,19224,10,57.977720737457275,logs/esimpletm_grid_expanded_ETTh1/ETTh1_p96_gd0.75.log,gelu,0.3,24,0.0,1.4,1.25,256,7,False,./checkpoints/,projection,False,32,1,32,ETTh1,ETTh1.csv,7,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,1,False,timeF,7,MTSF,1,M,2025,h,0.75,0,False,1,1,,0.0005,0,0.02,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,,0.01,db1,,,
ETTh1,96,0.35978829860687256,0.3901902735233307,ETTh1_p96_gd0.75,2025,19224,10,29.711639642715454,logs/night_grid_ETTh1/ETTh1_p96_gd0.75.log,gelu,0.3,24,0.0,1.4,1.25,256,7,False,./checkpoints/,projection,False,32,1,32,ETTh1,ETTh1.csv,7,NightGrid,"0,1,2,3",True,False,0.1,1,False,timeF,7,MTSF,1,M,2025,h,0.75,0,False,1,1,,0.0005,0,0.02,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,,0.01,db1,,,
