dataset,pred_len,mse,mae,model_id,seed,trainable_parameters,epochs_recorded,train_seconds,log_path,activation,alpha,armor_cycle,armor_dropout,armor_lr_scale,armor_scale,batch_size,c_out,channel_independence,checkpoints,class_strategy,compile,d_ff,d_layers,d_model,data,data_path,dec_in,des,devices,distil,do_predict,dropout,e_layers,efficient_training,embed,enc_in,exp_name,factor,features,fix_seed,freq,geomattn_dropout,gpu,inverse,is_training,itr,kernel_size,l1_weight,label_len,learning_rate,loss,lradj,m,model,moving_avg,n_heads,num_workers,output_attention,partial_start_index,patience,pct_start,requires_grad,root_path,seq_len,target,target_data_path,target_root_path,train_epochs,use_amp,use_embedding_armor,use_gpu,use_multi_gpu,use_norm,weight_decay,wv
Weather,192,0.19975751638412476,0.24056372046470642,Weather_p192_arch7,2025,79840,10,185.6539924144745,logs/esimpletm_grid_expanded_Weather/Weather_p192_arch7.log,gelu,0.3,24,0.0,1.0,1.0,256,21,False,./checkpoints/,projection,False,64,1,64,custom,weather.csv,21,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,1,False,timeF,21,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.0,0,0.009,MSE,TST,1,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/weather/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,0.01,db4
Weather,336,0.2562653720378876,0.28458598256111145,Weather_p336_arch8,2025,97456,10,264.919997215271,logs/esimpletm_grid_expanded_Weather/Weather_p336_arch8.log,gelu,1.0,24,0.0,1.0,1.0,256,21,False,./checkpoints/,projection,False,128,1,64,custom,weather.csv,21,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,1,False,timeF,21,MTSF,1,M,2025,h,0.5,0,False,1,1,,5e-05,0,0.009,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/weather/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,0.01,db4
Weather,720,0.33585551381111145,0.3389362394809723,Weather_p720_as0.25,2025,51632,10,163.44876885414124,logs/esimpletm_grid_expanded_Weather/Weather_p720_as0.25.log,gelu,0.9,24,0.0,1.0,0.25,256,21,False,./checkpoints/,projection,False,32,1,32,custom,weather.csv,21,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,1,False,timeF,21,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.005,0,0.02,MSE,TST,1,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/weather/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,0.01,db4
Solar,96,0.1598377674818039,0.22940804064273834,Solar_p96_joint5,2025,275552,10,258.80988001823425,logs/esimpletm_grid_expanded_Solar/Solar_p96_joint5.log,gelu,0.0,24,0.0,1.0,0.75,256,137,False,./checkpoints/,projection,False,128,1,64,Solar,solar_AL.txt,137,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,1,False,timeF,137,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.005,0,0.006,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/solar/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,0,0.01,db8
Solar,192,0.1806192696094513,0.2489090859889984,Solar_p192_cycle1,2025,213888,10,158.5045986175537,logs/esimpletm_grid_expanded_Solar/Solar_p192_cycle1.log,gelu,0.0,1,0.0,1.0,1.0,256,137,False,./checkpoints/,projection,False,256,1,128,Solar,solar_AL.txt,137,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,1,False,timeF,137,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.005,0,0.003,MSE,TST,1,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/solar/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,0,0.01,db8
Solar,336,0.1906615048646927,0.25321558117866516,Solar_p336_arch9,2025,704528,10,214.07501649856567,logs/esimpletm_grid_expanded_Solar/Solar_p336_arch9.log,gelu,0.1,24,0.0,1.0,1.0,256,137,False,./checkpoints/,projection,False,512,1,128,Solar,solar_AL.txt,137,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,1,False,timeF,137,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.005,0,0.003,MSE,TST,1,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/solar/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,0,0.01,db8
Solar,720,0.19956880807876587,0.2540149986743927,Solar_p720_wvbior3.1,2025,681696,10,387.0631146430969,logs/esimpletm_grid_expanded_Solar/Solar_p720_wvbior3.1.log,gelu,0.0,24,0.0,1.0,1.0,256,137,False,./checkpoints/,projection,False,256,1,128,Solar,solar_AL.txt,137,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,1,False,timeF,137,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.005,0,0.009,MSE,TST,1,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/solar/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,0,0.01,bior3.1
Exchange,96,0.08397781848907471,0.20274776220321655,Exchange_p96_archlr_a12_lr0.0002,2025,2076384,6,60.72019362449646,logs/esimpletm_grid_exchange_wide/Exchange_p96_archlr_a12_lr0.0002.log,gelu,0.3,7,0.0,1.0,1.0,128,8,False,./checkpoints/,projection,False,512,1,384,custom,exchange_rate.csv,8,ESimpleTMExchangeWide,"0,1,2,3",True,False,0.1,2,False,timeF,8,MTSF,1,M,2025,d,0.5,0,False,1,1,,5e-05,0,0.0002,MSE,TST,3,SimpleTM,25,8,2,False,0,3,0.2,True,./dataset/exchange_rate/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,0.01,db1
Exchange,192,0.17626334726810455,0.29905030131340027,Exchange_p192_archlr_a7_lr0.001,2025,146176,5,24.252259254455566,logs/esimpletm_grid_exchange_wide/Exchange_p192_archlr_a7_lr0.001.log,gelu,0.3,7,0.0,1.0,1.0,128,8,False,./checkpoints/,projection,False,128,1,128,custom,exchange_rate.csv,8,ESimpleTMExchangeWide,"0,1,2,3",True,False,0.1,1,False,timeF,8,MTSF,1,M,2025,d,0.5,0,False,1,1,,5e-05,0,0.001,MSE,TST,3,SimpleTM,25,8,2,False,0,3,0.2,True,./dataset/exchange_rate/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,0.01,db1
Exchange,336,0.32471033930778503,0.4140002429485321,Exchange_p336_archlr_a12_lr0.01,2025,2168784,4,94.96456027030945,logs/esimpletm_grid_exchange_wide/Exchange_p336_archlr_a12_lr0.01.log,gelu,0.3,7,0.0,1.0,1.0,128,8,False,./checkpoints/,projection,False,512,1,384,custom,exchange_rate.csv,8,ESimpleTMExchangeWide,"0,1,2,3",True,False,0.1,2,False,timeF,8,MTSF,1,M,2025,d,0.5,0,False,1,1,,5e-05,0,0.01,MSE,TST,3,SimpleTM,25,8,2,False,0,3,0.2,True,./dataset/exchange_rate/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,0.01,db1
Exchange,720,0.7918639183044434,0.6723057627677917,Exchange_p720_archlr_a11_lr0.002,2025,1282896,10,166.6019217967987,logs/esimpletm_grid_exchange_wide/Exchange_p720_archlr_a11_lr0.002.log,gelu,0.3,7,0.0,1.0,1.0,128,8,False,./checkpoints/,projection,False,512,1,256,custom,exchange_rate.csv,8,ESimpleTMExchangeWide,"0,1,2,3",True,False,0.1,2,False,timeF,8,MTSF,1,M,2025,d,0.5,0,False,1,1,,5e-05,0,0.002,MSE,TST,3,SimpleTM,25,8,2,False,0,3,0.2,True,./dataset/exchange_rate/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,0.01,db1
